CommonName,Long_1,Fire_K,Seed_2,Snow_K,WL__6,Poll_Abiotic,Disp_Wind,Disp_Invert_ext_,Glycophyte
sp0259,0,0,0,1,0,0,1,0,0
sp0260,0,0,0,1,0,0,1,0,0
sp0261,0,1,0,1,0,0,0,0,0
sp0262,0,0,1,0,0,0,1,0,0
sp0263,0,0,0,0,0,0,0,0,0
sp0264,0,0,0,0,0,0,0,1,1
sp0265,1,1,0,1,0,0,1,0,1
sp0266,1,1,0,1,0,0,0,0,1
sp0267,0,0,0,1,0,1,0,0,0
sp0268,0,1,1,1,0,0,0,0,0
sp0269,0,0,1,1,0,0,0,0,0
sp0270,0,0,0,0,1,0,0,0,0
sp0271,1,1,0,1,0,0,0,1,0
sp0272,1,1,1,1,0,0,0,1,0
sp0273,0,0,1,1,1,1,0,0,0
sp0274,0,0,1,0,0,0,1,0,0
sp0275,0,1,0,1,0,0,0,1,0
sp0276,0,0,0,0,0,0,0,1,0
sp0277,0,0,0,0,0,0,0,0,0
sp0278,0,0,1,0,0,0,0,1,1
sp0279,0,1,0,1,0,0,0,0,0
sp0280,1,1,0,1,0,0,0,1,0
sp0281,1,1,0,1,0,0,1,0,0
sp0282,0,1,0,0,0,0,0,0,0
sp0283,0,0,1,0,0,0,1,0,0
sp0284,1,1,0,1,0,0,0,1,0
sp0285,1,1,0,1,0,0,0,1,0
sp0286,0,0,1,1,0,0,1,0,0
sp0287,0,1,0,0,0,0,0,0,0
sp0288,0,0,0,1,0,1,0,0,0
sp0289,0,0,0,0,0,0,0,0,0
sp0290,0,1,0,0,0,0,0,0,0
sp0291,0,1,1,0,0,0,1,0,1
sp0292,0,0,1,1,0,0,0,1,0
sp0293,0,0,1,1,0,0,1,0,0
sp0294,0,0,1,0,0,0,1,0,0
sp0295,0,0,0,1,0,0,0,1,0
sp0296,0,1,1,1,0,0,1,0,0
sp0297,0,0,0,1,0,0,0,0,0
sp0298,0,0,0,1,0,0,0,0,0
sp0299,0,1,0,1,0,0,0,0,0
sp0300,0,0,0,1,0,0,0,1,0
sp0301,0,0,0,0,1,0,0,0,0
sp0302,0,0,0,0,0,0,0,1,0
sp0303,0,1,0,1,0,0,0,0,0
sp0304,0,1,1,1,0,0,0,0,1
sp0305,1,1,0,1,0,0,0,1,0
sp0306,0,1,0,0,1,1,0,0,1
sp0307,0,0,0,1,0,0,0,0,0
sp0308,0,0,0,0,0,0,0,0,0
sp0309,0,0,0,1,0,0,0,0,0
sp0310,0,0,0,1,0,1,0,0,0
sp0311,1,1,0,0,0,0,0,0,0
sp0312,0,0,1,0,0,0,0,1,0
sp0313,1,1,1,1,0,0,0,1,0
sp0314,0,1,1,0,0,1,1,0,1
sp0315,0,1,0,0,0,0,1,0,0
sp0316,0,0,1,0,0,0,1,0,0
sp0317,1,1,0,1,0,0,0,0,0
sp0318,0,1,0,0,0,0,0,1,0
sp0319,1,1,0,1,0,0,1,0,0
sp0320,0,0,0,0,0,1,0,0,0
sp0321,0,0,0,1,0,0,0,0,0
sp0322,0,0,1,1,0,0,1,0,0
sp0323,0,1,0,0,0,0,0,0,0
sp0324,0,1,0,0,0,0,0,0,0
sp0325,0,0,0,0,0,0,0,0,0
sp0326,0,0,1,0,0,0,0,1,0
sp0327,0,1,0,0,0,0,1,0,0
sp0328,0,0,0,0,0,0,0,0,1
sp0329,0,0,1,0,0,0,0,1,0
sp0330,0,1,0,0,0,0,0,0,0
sp0331,0,0,1,0,0,0,0,0,1
sp0332,0,1,0,0,1,0,0,0,0
sp0333,0,0,0,0,0,0,0,0,0
sp0334,0,0,0,1,1,0,0,1,1
sp0335,0,0,1,1,0,0,1,0,0
sp0336,0,0,1,1,0,0,1,0,0
sp0337,0,0,1,0,1,0,0,1,1
sp0338,0,0,1,1,0,0,1,0,1
sp0339,0,0,1,1,0,0,1,0,0
sp0340,0,0,1,1,0,0,1,0,0
sp0341,0,0,1,1,0,0,1,0,0
sp0342,0,1,0,1,0,1,0,1,0
sp0343,0,1,0,0,0,0,0,0,0
sp0344,0,0,0,1,0,0,0,0,0
sp0345,0,1,0,0,0,0,1,0,0
sp0346,0,0,1,1,0,0,0,0,0
sp0347,0,0,0,0,0,1,0,1,1
sp0348,0,1,0,1,0,0,1,0,0
sp0349,0,0,0,1,0,0,0,1,1
sp0350,0,0,1,0,1,0,0,0,0
sp0351,0,0,1,0,0,0,0,0,0
sp0352,1,1,0,0,0,1,0,0,0
sp0353,0,0,0,1,0,1,0,0,0
sp0354,1,1,0,0,0,1,0,0,0
sp0355,0,0,1,0,0,0,1,0,0
sp0356,0,1,1,1,0,0,1,0,0
sp0357,0,0,1,0,0,0,1,0,0
sp0358,0,0,0,0,0,0,0,1,0
sp0359,0,0,1,0,0,0,1,0,0
sp0360,0,0,0,1,0,0,0,1,1
sp0361,1,1,0,1,0,0,1,0,0
sp0362,0,0,1,0,0,0,0,0,0
sp0363,0,0,1,0,0,0,1,0,0
sp0364,0,0,1,0,0,0,1,0,0
sp0365,0,1,0,0,0,0,0,1,1
sp0366,0,0,0,0,0,0,0,1,0
sp0367,0,0,0,0,0,0,0,0,0
sp0368,0,0,0,1,0,0,0,1,0
sp0369,1,1,0,1,0,0,1,0,0
sp0370,0,0,1,0,1,0,0,1,0
sp0371,0,0,0,0,0,0,0,0,0
sp0372,0,1,0,1,0,0,0,1,0
sp0373,0,0,0,0,0,0,0,0,0
sp0374,0,0,1,0,0,0,1,0,0
sp0375,0,0,1,0,0,0,1,0,0
sp0376,0,0,1,1,0,0,1,0,0
sp0377,0,0,1,0,0,0,1,0,1
sp0378,0,0,1,0,0,0,1,0,1
sp0379,0,0,1,0,0,0,1,0,0
sp0380,0,0,1,1,1,0,1,0,0
sp0381,0,0,0,0,0,0,1,0,0
sp0382,0,0,1,1,0,0,1,0,1
sp0383,0,0,1,1,0,0,0,1,0
sp0384,1,1,1,1,0,0,1,0,0
sp0385,0,1,1,0,0,0,1,0,0
sp0386,0,0,1,1,0,0,0,1,0
sp0387,1,1,0,1,0,0,0,1,0
sp0388,0,0,0,0,1,0,0,0,0
sp0389,0,1,1,0,1,0,1,0,0
sp0390,1,1,0,1,0,0,0,0,0
sp0391,1,1,0,0,0,0,0,1,0
sp0392,0,0,0,0,0,0,0,0,0
sp0393,0,0,0,1,0,1,1,0,0
sp0394,1,1,0,1,0,0,0,0,0
sp0395,0,0,0,0,0,0,0,0,0
sp0396,1,1,0,1,0,1,0,0,0
sp0397,0,0,0,0,0,0,0,0,1
sp0398,0,1,0,0,0,0,0,0,0
sp0399,1,1,0,1,0,0,0,0,0
sp0400,0,0,0,0,1,0,0,0,0
sp0401,0,0,0,0,1,0,0,1,0
sp0402,0,0,1,0,0,0,0,1,1
sp0403,0,0,0,0,0,0,0,0,0
sp0404,0,0,0,0,0,1,0,1,0
sp0405,0,0,0,0,0,1,0,0,0
sp0406,0,0,1,0,0,0,0,1,0
sp0407,0,0,1,0,0,0,0,0,0
sp0408,0,0,0,0,0,0,0,1,1
sp0409,1,1,0,0,0,0,0,0,0
sp0410,0,0,0,1,0,0,0,0,0
sp0411,0,1,1,0,0,0,1,0,0
sp0412,0,0,0,0,0,1,0,0,0
sp0413,1,1,1,1,0,0,0,1,0
sp0414,0,0,1,0,0,0,1,0,1
sp0415,1,1,0,1,0,0,1,0,0
sp0416,0,0,1,1,0,0,1,0,0
sp0417,0,0,0,0,0,0,0,1,0
sp0418,0,0,0,1,0,0,0,1,1
sp0419,0,0,0,0,0,0,1,0,0
sp0420,0,1,0,1,0,0,0,0,0
sp0421,0,1,1,0,0,0,1,0,1
sp0422,0,0,1,0,0,0,1,0,0
sp0423,0,0,1,1,0,0,1,0,0
sp0424,0,0,0,1,0,1,0,0,0
sp0425,0,0,1,1,0,0,1,0,1
sp0426,0,0,0,0,0,0,0,0,0
sp0427,1,1,0,0,0,0,0,0,1
sp0428,0,0,1,0,0,0,1,0,0
sp0429,0,0,1,0,0,1,0,0,0
sp0430,0,0,1,1,0,0,1,0,0
sp0431,0,0,0,1,0,1,0,0,0
sp0432,0,0,0,0,0,0,0,0,0
sp0433,0,1,0,0,0,0,0,1,0
sp0434,1,1,0,1,0,0,1,0,0
sp0435,1,1,0,0,0,0,0,0,1
sp0436,1,1,0,1,0,0,0,0,0
sp0437,0,0,1,1,0,0,0,1,0
sp0438,0,1,1,1,0,0,0,0,0
sp0439,0,0,1,1,0,0,1,0,0
sp0440,0,1,1,1,0,0,0,0,0
sp0441,0,1,1,1,0,0,0,0,0
sp0442,0,0,0,0,0,0,0,1,1
sp0443,0,0,0,0,0,0,0,1,0
sp0444,0,0,0,0,0,0,0,1,0
sp0445,0,1,0,0,1,0,0,0,1
sp0446,0,1,0,0,0,0,1,0,0
sp0447,1,1,0,1,1,0,0,0,0
sp0448,0,1,1,0,0,0,1,0,0
sp0449,0,1,1,1,0,0,0,0,0
sp0450,0,0,0,0,0,0,0,1,0
sp0451,0,0,1,1,0,0,1,0,0
sp0452,0,0,0,1,0,0,0,0,0
sp0453,1,1,0,0,0,0,1,0,0
sp0454,0,0,0,1,0,0,0,0,0
sp0455,0,0,0,0,0,1,0,0,0
sp0456,0,1,0,1,0,0,0,0,0
sp0457,0,1,0,1,0,0,0,1,0
sp0458,0,0,0,1,0,1,0,0,0
sp0459,0,0,0,1,0,0,0,0,0
sp0460,0,0,0,0,0,0,1,0,0
sp0461,0,0,0,0,0,0,1,0,0
sp0462,0,1,0,0,1,0,0,1,0
sp0463,1,1,0,1,0,1,0,1,0
sp0464,1,1,0,1,0,0,0,1,0
sp0465,1,1,1,0,0,1,1,0,0
sp0466,1,1,0,0,0,0,1,0,0
sp0467,0,0,0,1,0,0,1,0,0
sp0468,0,0,1,0,0,0,1,0,0
sp0469,0,0,1,0,0,0,1,0,1
sp0470,0,0,1,1,0,0,1,0,0
sp0471,0,0,1,0,0,0,1,0,0
